Ulasan;
Harga tiket masuknya tergolong mahal. Masuk aja harus bayar 30ribu per orang. Kalo cari spot foto yaaa paling bagus cuma Taman Lampion aja. Mau naik wahananya kayaknya juga ngeri dan harus bayar lagi kalo gak beli tiket terusan (seharga 100rban). Kesini cuma naik Sepeda Angin doang. Yaaaa silahkan dicoba lah. Mungkin wahananya harus di ganti atau diperbanyak lagi ya;
keseruan saya dikecewakan dengan tiket masuk paket yang saya beli itu dibilang including permainan tp setelah masuk hanya beberapa permainan yang bisa di mainkan selebihnya additional fee ( lebih banyak bayarnya ), tahu gitu kan kami beli tiket masuk saja.;
tempatnya ga terlalu luas. ada berbagai permainan buat anak dan remaja disini. lebih baik beli karcis terusan karena lebih hemat jika ingin menikmati banyak permainan. paling seru wahana sepeda udara dan dancing waves.;
Kesini ngajak anak2,hbs magrib cuz ksni.ckup 5menit da nympe.kebetulan nginep di homestay yg dblkng BNS.Pas ksna lg rame2nya ada yg lg studytour.Masuk ksn,klw mnrt aq sih,mirip2 sm kyk pasar mlm,hee...tp ada dufan jg.Keliling2,maen,foto2 jg keren.Masuk kdlm wahana Lampion jg seru bwt foto2,anak2 seneng.Pas arah pulang,kebetulan lg ada air mancur menari,2 lagu sm ada video film anak2,l jg.Keren deh,smpt di rekam jg bwt kenang2an blk lg k palembang.Tmpt jual souvenir dan brng2 oleh2 khas batu jg byk,kmrn beli sendal 10rb,mknan sm maenan kunci&kulkas.Harga murah.lumayan bwt oleh2.;
ekspektasi tentang BNS ini terlalu berlebihan (karena dapet rekomendasi dr kakak yg seneng banget di bns) jadinya begitu sampe langsung ngerasa kok biasa yah hehe,apalagi yg sering ke dufan atau taman bermain lainnya,mungkin krn anak anak kami masih kecil jadi ga seluruh permainan bisa dimainin dan kalo buat org dewasa terlalu biasa hehe,tapi overall wajib dikunjungi kalo di batu;
Tempat sejenis pasar malam. Tidak terlalu luas. Permainan cukup banyak variasinya. Makanan cukup banyak;
Suasananya sangat bagus dengan aneka permainan yang tersedia. Wahana yang tersedia untuk segala umur.;
Bagi anda yang menyukai wisata malam, BNS menjadi alternatif wisata yang layak dijadikan pilihan ketika anda mengunjungi Kota Batu. Tidak begitu Spectacular karena masih ada banyak tempat serupa di kota lain di Indonesia, tetapi BNS amat sangat menarik untuk dilewatkan begitu saja. Berbagai macam wahana permainan, juga stan stan ada disini, sehingga dapat dijadikan tempat wisata malam yang menjadi lebih hidup, jauh dari kesan gelap dan misterius. Stan foto 3D, rumah kaca, berbagai macam wahana permainan, stan makanan, dan juga kios kios souvenir, menjadikan BNS ramai dan sangat menyenangkan untuk dijelajahi. Jangan lupa kunjungi juga stan rumah horor yang pastinya akan membuat kunjungan anda menjadi lebih afdol. Tiket masuk yang cukup terjangkau dan juga banyaknya hiburan yang ditawarkan akan menjadikan rekreasi anda dan keluarga menyenangkan. ;
Di BNS kita bisa main beberapa wahana di malam hari lo guys, soalnya disini itu emang khusus untuk sore sampai malam hari. Waktu itu saya beli tiket yang harganya 90k , bisa main2 wahana disana dan ke lampion2 juga;
Tempat yang bagus untuk dikunjungi pada malam hari, seperti namanya. Bagian lentera BNS bagus untuk mengambil foto. Saya memiliki pengalaman yang menyenangkan dengan permainan Go-Kart, dan para pekerja sangat ramah dan membantu.;
Bagi yang ke Batu pasti akan merasa belum lengkap kalo gak kesini. Bukanya hanya malam hari dan disaranin pake pakaiannya yang agak tebel ya... dingin soalnya hehe;
Sesuai dengan namanya,tempat wisata ini memang wisata malam hari. Konsepnya seperti pasar malam dengan berbagai wahana & permainan yg memacu adrenalin. Lokasinya yang berada didataran tinggi membuat udara terasa sejuk di lokasi wisata ini. Lebih pas datang kesana jangan dimusim liburan karena akan sangat pada sekali pengunjungnya. Untuk berjalan & berfoto jadi sulit. Taman lampion di tempat wisata ini sangat bagus. ;
BNS kurang terawat. Jadi ini tiap masuk wahana bayar lagi. Kita sempat masuk yg 4 d . Banyak mesin yang kurang berfungsi.kita sempat masuk yang taman lampion ini cukup menarik cuman ya sedikit kurang terawat aja. Semoga lebih baik lagi. ;
Tempatnya selalu ramai dan seru, anak saya ingin terus bermain di sini sampai tidak mau untuk pulang ke penginapan. Segala permainan menarik ada di sini dan yang pasti kalau saat musim liburan sekolah mesti sabar untuk antri di setiap area permainan. ;
Lokasi yang ternyata menarik untuk menghabiskan malam karrna banyak.aktifitas yang dapat dilakukan bersama keluarga, dari yang dapat dilakukan oleh anak2 seperti rumah kaca, trampolin sampai dengan menembak sasaran maupun wahana seperti piring yang diputar hingga terbalik posisinya. Taman lampion juga hal yang menarik untuk berswafoto serta adanya dukungan kios2 penjual makanan ataupun minuman. Hal yang pasti adalah suhu udara di Batu ini sangat dingin ditambah saat malam hari membuat sarana pendukung seperti baju hangat serta alas kaki yang baik sangat diperlukan;
 Bns salah satu wisata di batu , sya membayar tiket untuk masuk 40k .. untuk terusan 120k , menurut saya biasa saja untuk objek wisata nya untuk tiket juga terlalu mahal dengan harga  masuk 40k. Ada baiknya tiket di turunkan dan lebih ditata layaknya wahana Jatim park.;
Menurut saya tempat ini sepi dan kurang menarik dan cenderung terlalu biasa. Permainan yang cocok buat anak-anak pun sedikit. ;
Wisata malam guys di batu malang amazing banget pokoknya suasana dingin di campur petualangan di BNS pokoknya sesuatu banget coba in guys,,,,tapi jangan lupa order yaw car for rental di ayx pro trans,,,,085740002287;
kalau malam-malam mau wisata yang seru-seru dengan aneka wahana, bisa main kesini. cukup lengkap dan banyak pilihan wahananya. ;
tempat wisata dimalam hari paling cocok adalah di batu night spectacular (BNS) yang terletak di kota batu, gemerlap permainan lampu membuat semakin indah wisata di BNS;
Taman lampionnya keren banget, banyak wahana seru disini, bisa beli tiket yg sepaket sm jatim park. Recomended banget buat wisata lokal..;
Keliatan dari jauh sangat indah dengan lampu warna-warni. Didalamnya seperti pasar malam biasa saja. ;
tempat ini seru banget, banyak anjungan wisatanya, permainan, taman lampion, bioskop 3D mini. Waktu itu pergi ke BNS waktu ada acara di Batu.;
dengan konsep game dan permainan modern, buka sore sampai malam hari.berlokasi di pusat kota batu.banyak permainan untuk anak2 maupun dewasa;
Tiket masuk sangat murah tapi ternyata bukan tiket terusan. Untuk menikmati wahana harus bayar lagi. Wahananya bisa dibilang itu itu saja;
Sengaja milih penginapan deket bns biar bisa ke bns malem2 jalan kaki.. Semakin malem semakin rame, banyak banget spot foto yang bagus disinii.. Wajib bgt dateng kesini sih kalo lagi ke malang;
Tempatnya nyaman, selain udara yang sangat sejuk anak-anak juga sangat betah di BNS ini, beberapa tempat malahan sampai berjam-jam anak ane di ditu, diantaranya tempat permainan masak-masakan dan gunta ganti baju yang biasa di pakai sophia kartun itu lho hehehe;
Disini sangat banyak wahana yang bisa dicoba. Semua wahananya menantang. Di sni jg ada museum art yg sangat kereeennn... ada banyk lampion yg lucu juga;
Harga Tiket Masuk Yang murah 30.000, Banyak terdapat wahana Yang cocok untuk pencinta permainan Yang memacu adrenalin. ;
Tempat ini merupakan arena permainan anak yang dipadukan dengan taman lampion. Disini juga kita bisa menikmati petualangan 4 dimensi. Jika ingin murah, sebaiknya menggunakan tiket terusan yang harganya 99 ribu sudah termasuk tiket masuk dan tiket untuk semua wahana kecuali Gokart, Trampoline, Ketangkasan, Battle Area dan VR Ride.;
Sekian Kali ke Malang selalu ada tempat wisata baru, menarik tempatnya dengan adanya festival lampion dan juga wahana permainan untuk anak-anak, dinginnya udara malang dimalam hari wajib menggunakan baju hangat dan kaos kaki.;
Bagus lampion2nya, anak2 seneng banget foto2 disana. Lampion naganya keren n detail bikinnya. Permainannya cukup banyak, tp karena mulainya malam jadi nggak bisa lama2 karena anak2 udah ngantuk. Makanannya sih biasa banget nggak ada yang spesial tapi lumayanlah buat nangsel perut dan harganya wajar.;
Tempat yang indah dan romantis dan banyak permainan anak2.. Hanya sayang food court makanan goreng2annya kurang bagus mutunya..;
Bawa jaket , pake kaos kaki... Soalnya beraktifitas disini.. semua permainan bayar lagi ya.. masuk bayar.. main bayar.. tp ga terlalu mahal kok.. buat yang bawa baby. Jangan lupa kasi tebel2 kalau mau main sampai malam.. saya ke bns sore menjelang malam , jadi nya uda malam baru pulang;
Pada waktu ke sini, kami mengunjungi lampion garden nya. Kami ke sini pada waktu malam, pemandangannya sangat bagus sekali. Di sini kita bisa melihat lampion dengan berbagai macam bentuk dan warna yang bagus sekali.;
Banyak pilihan wahana,  cocok untuk wisata keluarga terutama anak anak & dewasa harga terjangkau, udaranya pun sejuk;
setiap wahana ada harga sendiri, harus siapkan budget. bisa sih beli tiket terusan, tapi harus tau mau naik wahana apa.;
Banyak wahana di tempat ini. Mulai dari permainan biasa sampai yg memacu adrenalin. Tiket masuk utk weekday Rp30 ribu sedang weekend atau hari libur Rp40 ribu. Untuk tiap wahana ada lagi tiket yg harus dibeli. Memang ada tiket terusan, tp menurut saya lebih baik membeli tiket masuk saja dahulu baru membeli tiket tiap wahana. Karena tidak mungkin semua wahana dicoba, apalagi weekend. Antriannya bisa panjang. Ada Lampion Garden yg bisa dijadikan spot foto. Pandai pandailah mengambil foto disini. Perhatikan betul backlight, cari sudut yg baik, kalau tidak kita terlihat siluet saja. Tempat makan banya dan harganya normal.;
Batu adalah surga bagi para wisatawan, apalagi dengan adanya Batu Night Spectacular tambah bagus lah pokoknya, tidak diragukan lagi bagi bapak dan ibu agar mengajak buah hati nya ke wahana ini.;
waktu kesini beli tiket yang terusan, kalau menurut saya lumayan mahal ya hehe, disini banyak permainan ga cuma buat anak2 tapi juga dewasanya, kalau ada yang berani bisa masuk kewahana rumah hantunya, lampu2nya keren2 ada miniatur menara eifel dan petronas tower. disini ada foodcourt dan banyak toko2 yang menjual oleh2, tapi kebanyakan baju baju yang dijual.. ;
tidak ada yang spesial dari tempat ini seperti pasar malam pada umumnya, tapi apabila ke batu ya sempatkan untuk mengunjunginya. ;
wahananya macam-macam. sayangnya tidak bisa dinaiki 2 kali. taman lampionnya biasa saja. sebaiknya membeli tiket terusan agar lebih murah, walaupun tidak semua wahana biasa dinikmati dengan tiket terusan. tempatnya tidak terlalu ramai. datanglah sekitar jam 6 supaya agak ramai.;
BNS harus membayar setiap akan memainkan permainannya..tempatnya menyenangkan..cocok untuk pelajar pelajar yang sedang karya wisata.;
Sebenernya sih lebih cocok kalo ajak anak liburan kesini karna basicnya taman bermain, tapi buat pasangan kaya aku worth it lah, kita bisa foto2 seru bareng pasangan, puas main perut lapar tersedia foodcourt dg berbagai pilihan menu, jadi gak perlu takut kelaperan, tapi bayarnya harus pake card jadi agak ribet bolak balik nya hehe;
Secara garis besar objek wisata ini hampir mirip dengan Suroboyo Night Carnival. Bedanya wahananya lebih banyak, selain itu terdapat arena Gokart dan Lampion Garden, dan di lantai bawah banyak toko baju dan toko oleh-oleh khas Batu.;
Gemerlapnya malam hari dibatu yahh di BNS ini. BNS ini menyediakan berbagai wahana permainan. Sayangnya tiket tiap wahana berbeda. Didalam BNS ada taman lampion, menawarkan berbagai macam bentuk lampion yang kece banget untuk foto-foto.;
Untuk yang suka fotografi cocok datang ke tempat ini. Banyak spot menarik dengan lampion-lampion yang bagus. Tiket overpriced;
wahana permainan menurut saya kurang menarik, taman lampion terlalu kecil padahal icon dari BNS yang menarik adalah lampionnya;
Keren...penuh cahaya dg berbagai macam bentuk lampion warna warni, juga ada tempat yg menjual souvenir;
"Untuk bermain di dalam harus bayar extra, cuman sekitar 10-15rb tapi masuk kesana saja sudah bayar dan agak menganggu setiap mau main harus beli tiket lagi. Mbak"" dan mas"" nya tidak ramah dan judes orangnya. Overall BNS bisa dinikmati sebagai atraksi merakyat ";
Wahana yg ditawarkan lumayan banyak walaupun tidak sebanyak ancol.. Asik untuk melepas waktu liburan bersama teman. Tiap wahana harus bayar.;
Dipenuhi gemerlap lampu, BNS menjadi ikon kota batu yg baru, seakan tidak ada matinya kalau berkunjung ke kota batu baik siang maupun malam... hanya sedikit khawatir dengan fasilitas permainan yg ada apakah ter-maintenance dengan baik.. lainya it's ok..;
Obyek wisata ini kental dengan nuansa tata lampu warna warni, menarik untuk dikunjungi. Waktu malam datang dan mulailah bermain disini...atau mau berbelanja atau mau makan...atau mau nonton live show...ada disini...😊;
Tempat yg menarik. Pemandangan lampu-lampu dan lampion-lampion yg cantik. Tata letak dan tata kelola yg baik membuat tempat ini menjadi salah satu tempat yg wajib dikunjungi;
Tempat yang cocok untuk menghabiskan malam yang dingin di Batu. Wajib kunjungi taman lampion yang sangat indah di dalam untuk foto-foto. Naik sepeda layang juga harus dicoba, bisa lihat pemandangan Batu dan Malang dari ketinggian.;
sebuah lokasi penuh sensasi untuk dikunjungi, selalu meriah banyak wisatawan datang, banyak arena permainan yang seru....;
Perjalanan bisnis ke Malang, mencuri-curi waktu ke BNS,, Terkesan dengan Taman Lampionnya,, Biarpun untuk masuk ke Taman Lampionnya di kenakan biaya lagi diluar Biaya Tiket Masuk,, Lampionnya cantik-cantik,, Bagus untuk yang suka Foto-foto,, Di Danau nya waktu itu ada Live Musicnya,, Enak bangett dengerin musik sambil santai di pinggir danau nya,, Kerenn,,;
Taman hiburan yang tersedia di Batu Malang. Di dalamnya terdapat berbagai wahana bermain. Ada wahana yang berbayar, ada juga yang tidak. Untuk yang doyan berfoto ria, ada banyak spot yang cukup bagus untuk dijadikan background.;
BNS buka di malam hari.Harga tiket masuk memang tidak begitu mahal.Tetapi untuk bisa mencoba berbagai macam wahana di dalam kita harus membayar lagi.Yang paling kita suka taman lampion karena banyak spot spot yang bagus untuk berfoto dan bisa menikmati suasana malam dengan lampu lampion yang dibuat berbagai macam bentuk.Banyak yang menjual oleh oleh khas batu dengan harga yang cukup murah.;
Pas datang, membeli tiket ditawarkan mau beli tiket terusan utk semua permainan, atau hanya tiket masuk saja, krn kami tdk yakin bisa main semua, jd hanya beli tiket masuk Rp. 80 rb/org, dikasi gelang buat pengganti tiket. Bgtu masuk luar biasa meriahnya, semua wahana terang benderang,isinya berbagai pilihan permainan buat anak atau dewasa. Krn keterbatasan waktu kami saja hanya bisa mencoba sepeda udara, bumper car, gokart dan lampion, tiket nya antara Rp. 15rb-20rb per org, cukup murah.Khusus utk taman lampion, siapkan memori foto yg banyak.. tempatnya bagus sekali buat foto-foto. menuju pintu keluar banyak toko oleh-oleh, diluar pun juga tersedia byk toko oleh-oleh khas malang. Keseluruhan kami puas sekali disini, harga tiket relatif terjangkau, harga makanan jg wajar, plus anak-anak puas bermain;
Cocok untuk Muda mudi yang ingin bereisata di Malam hari. Taman lampionnya menarik untuk berfoto. Bumper car dan atraksi menarik lainnya juga bagus.;
BNS salah satu tujuan utama kami saat ke Batu Malang kemarin... karena kami membeli tiket terusan di Jatim Park, maka cukup menunjukkan gelang ,tinggal masuk.Banyak wahana di dalam BNS...namun harus merogoh kocek yang lumayan jika kita ingin mencoba semua wahana...Saran saya sih, beli tiket terusan BNS terpisah, karena beberapa puluh wahana sudah termasuk didalamnya...lebih hemat daripada membeli per wahana.;
Wahana wisata BNS merupakan salah satu favorit di kota Batu. Suasana hiburan menarik dan bernuansa romantika, ketika mulai menikmati lampu lampion malam yang gemerlap lembut seiring dengan desain dan tata letak yang membawa ketenangan berwisata bersama pasangan. Suasana kian menghibur ketika masuk ke arena pentas air mancur di food court yang beragam menu khas Nusantara yang Bhineka Tunggal Ika. Group band nya pun memesona kami, suara bening si Mas sang penyanyi itu lho mampu membawakan lagu yang indah (Jumat, 28 Juli 2017).;
Banyak wahana permainan di sini. Yang paling menarik adalah Wisata Lampion. Sangat ramai setiap aphir pekan atau hari libur.;
Setelah berwisata siang hari, sebagai penutup anda wajib berkunjung ke batu nigt spektakuler (bns).aneka wahana telah d persiapkan utk anda yg berjiwa muda dan penuh tantangan.;
Banyak wahana-wahana seru disini. Ada labirin dari kaca, ada komedi putar, ada bianglala, ada kursi gantung (gag tau namanya apaan 😄)  yang bikin jantung dag dig dug dan masik banyak lainya. Kalau menjelang malam sebaiknya jangan naik wahana yang berada diketinggian. Sangat dingin dan bisa masuk angin hehehe. Tempat sangat cocok untuk keluarga.;
disini dateng pas abis ujan dan malem.. dingiinn trs basah semua jd kurang asik aja.. agak nyesel sih masuk sini karna foto2 hanya pk kamera hp jd ga terlalu bagus hasilnya karna gelap;
Salah satu referensi tempat wisata saat liburan sekolah,banyak permainan-permainan untuk anak-anak disini;
Didalamnya banyak wahana yang dapat dicoba tapi sayang sekali harus membayar lagi setiap naik wahana.;
Sangat menarik puas bermain arena dengan 100 rb. Banyak wahana menarik, trdapat wahana baru witch craft, robot war, perang laser;
Waktu liburan kemarin pengen maen ketempat wisata di batu. Karna sampainya jam 8 malam, mampirlah kita ke BNS. Wahana bermainnya cukup banyak dan menantang adrenalin. Sayang tidak semua wahana kami coba. Karna bawa anak kecil saya lebih banyak menemani ke wahana bermain anak2. Namun jika ingin mencoba wahana yg ekstrim silahkan saja. Ada beberapa wahana yg cukup ekstrim disana. Tak lupa juga terakhir sebelum pulang masuk ke lampion garden nya yang terkenal itu. Overall sangat menyenangkan. Namun jangan heran jika musim liburan tiba akan susah untuk mendapatkan parkirannya. Saking asyiknya bermain, kita disana sampai BNS tutup yakni jam 12 malam 😅😅.;
Kalau bisa diberikan keamanan yang ketat karena ini malam dan ramai dikunjungi oleh orang, dan juga memberi kenyamanan yang lebih;
Batu night spectaculer ada banyak lampion lampion bahkan ada miniatur menara eiffell, disini juga ada permainan macam dufan;
Permainan yang tersedia cukup banyak. Saat saya bermain, harga tiket masuk jumat-minggu 40k/orang, bila beli tiket terusan untuk nyoba banyak permainan jumat-minggu 90k/orang, weekdays 75k/orang. Buka dari jam 3 sore, cocoknya kesini malam hari saat lampion udah pada dinyalakan. Cakep! Cocok untuk keluarga yang punya anak remaja atau buat main bareng sama temen2 (beli tiket terusan aja). Souvenir juga banyak. Di sepanjang jalan menuju parkiran banyak tempat pijet barangkali pada pegel-pegel naik wahana :);
Tempat permainan anak-anak dan dewasa seperti Theme Park gitu. Yang buka sore hari hingga malam. Dingin karena udara di kota Batu dingin kalau sudah sore atau malam. Tiket masuk Rp 20.000, belum termasuk tiket permainan. Ada food court didalamnya, di dalam foodcourt ada atraksi sinar dan air di jam tertentu. Di arah pintu keluar ada seperti pasar malam yang menjual berbagai macam barang dan oleh-oleh khas kota Batu/Malang;
Banyak permainan yg asyik , makanan juga enak* . Permainan yg asyik itu sepeda udara . Pokoknya asyik banget . Yg belom pernah kesini wajib coba ya 😊;
Bagus banget deh, dari awal masuk sampai akhir puas, cm asa beberapa spot yang kotor aja kaya bagian main babynya;
untuk kalian yang ingin menikmati bermain wahana permainan dimalam hari, di malang ada tempat namanya BNS, disana seperti halnya pasar karnival, saya sarankan untuk memakai pakaian tebal, karena sangat dingin;
Fasilitas di BNS sangat lengkap, walau beberapa fasilitas mengharuskan untuk membayar tiket terusan. Pemandangan malam nya luar biasa, taman lampion sangat cocok untuk dinikmati bersama keluarga dan orang terdekat. Tersedia pula pasar malam untuk membeli souvenir.;
jika ke kota batu pada malam hari sempatkanlah untuk mengunjungi tempat ini, kalau ingin sekedar jalan - jalan tempat ini masih terjangkau;
di malam harinya saya dan keluarga tidak lupa untuk ke salah satu objek wisata yang cukup di ramai di kota batu malang yaitu Batu Night Spectacular atau BNS, dengan harga tiket masuk yg relatif murah Rp.30.000/org utk hari senin-kamis dan jum'at - minggu Rp.40.000, di BNS banyak terdapat wahana bermain utk keluarga. bagi yg memiliki anak jgn takut karena di BNS terdapat kidszone. dengan letaknya yg sangat strategis di dataran tinggi objek wisata malang ini anda bisa menikmati pemandangan alam kota malang dan sekitarnya dgn di hiasi lampu-lampu yg gemerlap.jgn takut kalau merasa lapar karena terdapat food court juga. pokoknya kalau ke malang janga sampai terlewatkan utk berkunjung ke BNS;
